loan,duration,poutcome,job,y
no,1042,unknown,admin.,yes
no,1467,unknown,admin.,yes
no,1389,unknown,technician,yes
no,579,unknown,services,yes
no,673,unknown,admin.,yes
yes,562,unknown,management,yes
yes,1201,unknown,management,yes
no,1030,unknown,retired,yes
no,1623,unknown,technician,yes
no,608,unknown,technician,yes
no,1677,unknown,admin.,yes
no,918,unknown,unemployed,yes
no,1297,unknown,services,yes
no,703,unknown,technician,yes
yes,1597,unknown,technician,yes
yes,732,unknown,admin.,yes
no,1138,unknown,blue-collar,yes
yes,591,unknown,services,yes
no,786,unknown,admin.,yes
no,1574,unknown,blue-collar,yes
yes,1689,unknown,management,yes
no,1102,unknown,blue-collar,yes
no,943,unknown,technician,yes
no,813,unknown,blue-collar,yes
no,1084,unknown,management,yes
no,541,unknown,blue-collar,yes
no,1119,unknown,services,yes
no,1120,unknown,admin.,yes
yes,513,unknown,admin.,yes
no,442,unknown,admin.,yes
no,756,unknown,management,yes
no,2087,unknown,management,yes
no,1120,unknown,blue-collar,yes
no,985,unknown,unemployed,yes
no,617,unknown,blue-collar,yes
no,483,unknown,technician,yes
no,772,unknown,technician,yes
no,929,unknown,blue-collar,yes
no,538,unknown,admin.,yes
no,710,unknown,blue-collar,yes
no,653,unknown,blue-collar,yes
no,1028,unknown,technician,yes
no,654,unknown,blue-collar,yes
no,1692,unknown,blue-collar,yes
no,2016,unknown,blue-collar,yes
no,665,unknown,blue-collar,yes
no,460,unknown,blue-collar,yes
no,757,unknown,management,yes
no,504,unknown,blue-collar,yes
no,1346,unknown,management,yes
no,568,unknown,management,yes
no,1000,unknown,services,yes
no,618,unknown,retired,yes
no,2231,unknown,blue-collar,yes
no,395,unknown,entrepreneur,yes
yes,1015,unknown,blue-collar,yes
no,683,unknown,management,yes
no,470,unknown,entrepreneur,yes
no,1001,unknown,blue-collar,yes
no,845,unknown,management,yes
yes,753,unknown,entrepreneur,yes
no,916,unknown,blue-collar,yes
no,945,unknown,blue-collar,yes
no,1721,unknown,technician,yes
no,942,unknown,housemaid,yes
no,476,unknown,technician,yes
no,832,unknown,blue-collar,yes
